year,temp,hex
1977,0.2,f8aee5
1978,0.11,fc7ed2
1979,0.23,f8a3e2
1980,0.26,f899df
1981,0.3,f948cb
1982,0.18,ff66cc
1983,0.34,f86cd4
1984,0.15,fc6dcc
1985,0.13,fc75cf
1986,0.23,f8a3e2
1987,0.37,f954ce
1988,0.38,f948cb
1989,0.3,f984db
1990,0.43,f93dc8
1991,0.4,f948cb
1992,0.26,f899df
1993,0.28,f88edc
1994,0.34,f85fd0
1995,0.46,f92bc3
1996,0.32,f978d8
1997,0.52,fa1fc1
1998,0.63,fa38ac
1999,0.44,f935c5
2000,0.43,f93dc8
2001,0.55,fc0bbd
2002,0.6,f959b9
2003,0.61,f94eb5
2004,0.58,ff00bc
2005,0.66,f923a3
2006,0.61,f94eb5
2007,0.61,f94eb5
2008,0.54,fb15bf
2009,0.64,fa2da8
2010,0.7,fb0c9b
2011,0.58,ff00bc
2012,0.62,f943b0
2013,0.67,fa189f
2014,0.74,ff0099
2015,0.91,fc096d
2016,0.95,ff0069